City_id,CityName,STATE_ABR,State_NM
243,"Fort Wayne, IN",IN,Indiana
244,"Fort Yukon, AK",AK,Alaska
245,"Fayetteville, AR",AR,Arkansas
246,"Gaithersburg, MD",MD,Maryland
247,"Galena, AK",AK,Alaska
248,"Gambell, AK",AK,Alaska
249,"Galbraith Lake, AK",AK,Alaska
250,"Gillette, WY",WY,Wyoming
251,"Garden City, KS",KS,Kansas
252,"Grand Canyon, AZ",AZ,Arizona
253,"Greenville, SC",SC,"South Carolina"
254,"Glendive, MT",MT,Montana
255,"Georgetown, DE",DE,Delaware
256,"Spokane, WA",WA,Washington
257,"Grand Forks, ND",ND,"North Dakota"
258,"Longview, TX",TX,Texas
259,"Glasgow, MT",MT,Montana
260,"Grand Junction, CO",CO,Colorado
261,"Gulkana, AK",AK,Alaska
262,"Greenville, MS",MS,Mississippi
263,"Gaylord, MI",MI,Michigan
264,"Golovin, AK",AK,Alaska
265,"Goodnews Bay, AK",AK,Alaska
266,"Gainesville, FL",FL,Florida
267,"Gulfport/Biloxi, MS",MS,Mississippi
268,"Green Bay, WI",WI,Wisconsin
269,"Grand Island, NE",NE,Nebraska
270,"Killeen, TX",TX,Texas
271,"Grand Rapids, MI",MI,Michigan
272,"Greensboro/High Point, NC",NC,"North Carolina"
273,"Greer, SC",SC,"South Carolina"
274,"Gustavus, AK",AK,Alaska
275,"Great Falls, MT",MT,Montana
276,"Columbus, MS",MS,Mississippi
277,"Gunnison, CO",CO,Colorado
278,"Guam, TT",TT,"U.S. Pacific Trust Territories and Possessions"
279,"Gallup, NM",NM,"New Mexico"
280,"Gary, IN",IN,Indiana
281,"Holy Cross, AK",AK,Alaska
282,"Hayden, CO",CO,Colorado
283,"Hagerstown, MD",MD,Maryland
284,"Hilton Head, SC",SC,"South Carolina"
285,"Hawthorne, CA",CA,California
286,"Hibbing, MN",MN,Minnesota
287,"Lake Havasu City, AZ",AZ,Arizona
288,"Honolulu, HI",HI,Hawaii
289,"Hillsboro, OR",OR,Oregon
290,"Healy, AK",AK,Alaska
291,"Hickory, NC",NC,"North Carolina"
292,"Helena, MT",MT,Montana
293,"Hoonah, AK",AK,Alaska
294,"Hana, HI",HI,Hawaii
295,"Haines, AK",AK,Alaska
296,"Hobbs, NM",NM,"New Mexico"
297,"Homer, AK",AK,Alaska
298,"Hot Springs, AR",AR,Arkansas
299,"Houston, TX",TX,Texas
300,"Hooper Bay, AK",AK,Alaska
301,"White Plains, NY",NY,"New York"
302,"Harlingen/San Benito, TX",TX,Texas
303,"Harrison, AR",AR,Arkansas
304,"Las Vegas, NV",NV,Nevada
305,"Huslia, AK",AK,Alaska
306,"Huntsville, AL",AL,Alabama
307,"East Hampton, NY",NY,"New York"
308,"Ashland, WV",WV,"West Virginia"
309,"Hughes, AK",AK,Alaska
310,"New Haven, CT",CT,Connecticut
311,"Havre, MT",MT,Montana
312,"Hyannis, MA",MA,Massachusetts
313,"Hays, KS",KS,Kansas
314,"Wichita, KS",KS,Kansas
315,"Niagara Falls, NY",NY,"New York"
316,"Kiana, AK",AK,Alaska
317,"Idaho Falls, ID",ID,Idaho
318,"Igiugig, AK",AK,Alaska
319,"Nikolski, AK",AK,Alaska
320,"Wilmington, DE",DE,Delaware
321,"Iliamna, AK",AK,Alaska
